,summary,Krise,Energiequelle,Energiewende,Folgen,word
dichtem,1.9282806229786138,-0.018825073763430147,0.07491632953973715,0.01875015851440551,0.012055915160294806,dichtem
geldpolitik dicht,1.9282806229786138,-0.018825073763430147,0.07491632953973715,0.01875015851440551,0.012055915160294806,geldpolitik dicht
Nebel,1.9377849454902452,-0.015688390225236,0.06999952640201894,0.013833355376687085,0.007139112022576444,Nebel
dicht nebel,1.9377849454902452,-0.015688390225236,0.06999952640201894,0.013833355376687085,0.007139112022576444,dicht nebel
nebel die,1.945594668441225,-0.013141156180219027,0.06597739400400424,0.009811222978672512,0.0031169796245616808,nebel die
Leitzinserhöhungen,1.951171946907288,-0.01133846609247002,0.06311487601154832,0.006948704986216445,0.00025446163210578025,Leitzinserhöhungen
die leitzinserhöhung,1.951171946907288,-0.01133846609247002,0.06311487601154832,0.006948704986216445,0.00025446163210578025,die leitzinserhöhung
leitzinserhöhung ezb,1.893324461884071,-0.03072148078596643,0.09321080804461583,0.03704463701928409,0.030350393665173305,leitzinserhöhung ezb
ezb richtig,2.0113847134107656,0.0072952983814050425,0.03272166944937611,-0.023444501575955644,-0.030138744930066217,ezb richtig
sie kurs,2.0967021359616695,0.031346427046614986,-0.008820632420017719,-0.06498680344534954,-0.0716810467994602,sie kurs
fortsetzen,2.12245737034087,0.03812183033499361,-0.021029487882632546,-0.0771956589079643,-0.08388990226207504,fortsetzen
kurs fortsetz,2.12245737034087,0.03812183033499361,-0.021029487882632546,-0.0771956589079643,-0.08388990226207504,kurs fortsetz
fortsetz kampf,2.3192899909027704,0.0837191196595694,-0.1097160339609532,-0.16588220498628492,-0.17257644834039557,fortsetz kampf
inflation lange,2.2755380165576136,0.0744349030143302,-0.09067144876395104,-0.14683761978928295,-0.1535318631433935,inflation lange
gewonnen,2.160263467788174,0.04769620399616337,-0.03868512361150734,-0.09485129463683917,-0.10154553799094969,gewonnen
lange gewinn,2.160263467788174,0.04769620399616337,-0.03868512361150734,-0.09485129463683917,-0.10154553799094969,lange gewinn
die geldpolitik,2.0831524708618048,0.027695688589636593,-0.0023372908513363917,-0.058503461876668154,-0.06519770523077881,die geldpolitik
befindet,2.8387843919767017,-0.31537575107637306,1.3291470153863252,-0.367997034098935,-0.3746912774530455,befindet
geldpolitik befind,2.039226238268577,0.015429737531996812,0.018974625534766767,-0.037191545490564935,-0.04388578884467543,geldpolitik befind
Eurozone,2.796490251563647,0.16254613489538294,-0.2968200828576126,-0.3529862538829442,-0.3596804972370549,Eurozone
befind eurozone,2.1015126970453415,0.032628067161256914,-0.01111235086723105,-0.06727852189256289,-0.07397276524667351,befind eurozone
eurozone schwierig,2.22878309402683,0.06400832159320431,-0.06991067230502877,-0.12607684333036062,-0.13277108668447135,eurozone schwierig
Phase,2.418966665531873,0.10333082203567291,-0.1517953847910314,-0.20796155581636327,-0.21465579917047375,Phase
schwierig phase,2.418966665531873,0.10333082203567291,-0.1517953847910314,-0.20796155581636327,-0.21465579917047375,schwierig phase
erweist,2.6856762831032177,0.14722864583652132,-0.25638750429812485,-0.3125536753234566,-0.31924791867756724,erweist
inflation erweis,2.4449469460922333,0.10812108031410637,-0.1624783572776499,-0.21864452830298164,-0.22533877165709235,inflation erweis
hartnäckiger,2.1912559620522334,0.05523384971676515,-0.0529298116209138,-0.10909598264624554,-0.11579022600035621,hartnäckiger
erweis hartnäckig,2.1912559620522334,0.05523384971676515,-0.0529298116209138,-0.10909598264624554,-0.11579022600035621,erweis hartnäckig
erwünscht,2.087529627966232,0.02888168619213365,-0.004436304205890984,-0.06060247523122285,-0.0672967185853335,erwünscht
hartnäckig erwünscht,2.087529627966232,0.02888168619213365,-0.004436304205890984,-0.06060247523122285,-0.0672967185853335,hartnäckig erwünscht
gleichzeitig,2.680505296699185,0.14647692476054167,-0.2544602538211589,-0.3106264248464907,-0.31732066820060134,gleichzeitig
erwünscht gleichzeitig,2.045616977846973,0.017256552752741097,0.0158456218230384,-0.04032054920229336,-0.047014792556404,erwünscht gleichzeitig
verschlechtern,2.0089204162140786,0.006561194829354157,0.0339475950574399,-0.02221857596789185,-0.028912819322002507,verschlechtern
gleichzeitig verschlechter,2.0089204162140786,0.006561194829354157,0.0339475950574399,-0.02221857596789185,-0.028912819322002507,gleichzeitig verschlechter
verschlechter aussicht,1.9617488640381862,-0.007956721008068586,0.05770871350404052,0.0015425424787088207,-0.005151700875401823,verschlechter aussicht
aussicht +1903,1.9317324772990048,-0.017681159504755288,0.07312780957834497,0.01696163855301295,0.01026739519890243,aussicht +1903
wie reagier,2.289141097850007,0.07736881951205518,-0.09663161429611518,-0.15279778532144683,-0.1594920286755575,wie reagier
